method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
DeepLift,0.9167464114832536,0.9152278733016592,0.9167464114832536,5,1,1,1,0,1,1,1,1,1
DeepLift,0.9473684210526316,0.945977426477582,0.9473684210526316,1,1,1,1,0,0,1,1,1,2
DeepLift,0.9272727272727272,0.9250807361382962,0.9272727272727272,2,1,1,1,0,0,1,1,1,2
DeepLift,0.8851674641148326,0.8783858867512517,0.8851674641148325,3,1,1,1,0,0,1,1,1,2
DeepLift,0.9339712918660288,0.9314734894898536,0.9339712918660288,4,1,1,1,0,0,1,1,1,2
DeepLift,0.9148325358851674,0.9107575944042026,0.9148325358851674,5,1,1,1,0,0,1,1,1,2
DeepLift,0.9186602870813396,0.9153177544962788,0.9186602870813396,1,1,1,0,0,0,1,1,1,3
DeepLift,0.9320574162679426,0.929374588492736,0.9320574162679426,2,1,1,0,0,0,1,1,1,3
DeepLift,0.8976076555023923,0.8954723132256446,0.8976076555023923,3,1,1,0,0,0,1,1,1,3
DeepLift,0.9272727272727272,0.9247880731540994,0.9272727272727272,4,1,1,0,0,0,1,1,1,3
DeepLift,0.936842105263158,0.9346086337134456,0.936842105263158,5,1,1,0,0,0,1,1,1,3
DeepLift,0.8478468899521531,0.8389986020228859,0.8478468899521531,1,1,1,0,0,0,1,1,0,4
DeepLift,0.9138755980861244,0.9101750941709136,0.9138755980861244,2,1,1,0,0,0,1,1,0,4
DeepLift,0.9023923444976076,0.8982400701404446,0.9023923444976076,3,1,1,0,0,0,1,1,0,4
DeepLift,0.9148325358851674,0.9122340355773916,0.9148325358851674,4,1,1,0,0,0,1,1,0,4
DeepLift,0.907177033492823,0.9037177152853852,0.907177033492823,5,1,1,0,0,0,1,1,0,4
DeepLift,0.9177033492822968,0.914493102694682,0.9177033492822968,1,1,0,0,0,0,1,1,0,5
DeepLift,0.9110047846889952,0.9083861716910412,0.9110047846889952,2,1,0,0,0,0,1,1,0,5
DeepLift,0.910047846889952,0.9063804338616852,0.910047846889952,3,1,0,0,0,0,1,1,0,5
DeepLift,0.9157894736842104,0.9133058884878305,0.9157894736842104,4,1,0,0,0,0,1,1,0,5
DeepLift,0.8918660287081339,0.8880046361113412,0.8918660287081339,5,1,0,0,0,0,1,1,0,5
DeepLift,0.8985645933014355,0.8956229312868218,0.8985645933014355,1,0,0,0,0,0,1,1,0,6
DeepLift,0.8076555023923445,0.8008496686145543,0.8076555023923445,2,0,0,0,0,0,1,1,0,6
DeepLift,0.8698564593301435,0.8637280009797527,0.8698564593301435,3,0,0,0,0,0,1,1,0,6
DeepLift,0.9186602870813396,0.9152446128705533,0.9186602870813396,4,0,0,0,0,0,1,1,0,6
DeepLift,0.8411483253588516,0.8324853754602127,0.8411483253588516,5,0,0,0,0,0,1,1,0,6
DeepLift,0.7779904306220096,0.7776384590717874,0.7779904306220096,1,0,0,0,0,0,1,0,0,7
DeepLift,0.785645933014354,0.7776199331291255,0.785645933014354,2,0,0,0,0,0,1,0,0,7
DeepLift,0.69377990430622,0.6979124459332011,0.69377990430622,3,0,0,0,0,0,1,0,0,7
DeepLift,0.7177033492822967,0.7050750299702359,0.7177033492822966,4,0,0,0,0,0,1,0,0,7
