method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,num_channels
LRP,0.9710677749360612,0.9203876459012594,0.9710677749360612,3,1,1,0,1,1,1,0,1,1,0,0,1,4
LRP,0.9728260869565216,0.9195657853623588,0.9728260869565216,4,1,1,0,1,1,1,0,1,1,0,0,1,4
LRP,0.975383631713555,0.9317621076865684,0.975383631713555,5,1,1,0,1,1,1,0,1,1,0,0,1,4
LRP,0.9742647058823528,0.931059885099798,0.9742647058823528,1,1,1,0,0,1,1,0,1,1,0,0,1,5
LRP,0.961317135549872,0.8868982263202265,0.961317135549872,2,1,1,0,0,1,1,0,1,1,0,0,1,5
LRP,0.9731457800511508,0.9244462539436984,0.9731457800511508,3,1,1,0,0,1,1,0,1,1,0,0,1,5
LRP,0.970108695652174,0.915686199531382,0.970108695652174,4,1,1,0,0,1,1,0,1,1,0,0,1,5
LRP,0.967071611253197,0.9011317076673738,0.967071611253197,5,1,1,0,0,1,1,0,1,1,0,0,1,5
LRP,0.970108695652174,0.907695015402832,0.970108695652174,1,1,1,0,0,1,0,0,1,1,0,0,1,6
LRP,0.9699488491048592,0.9144812613365674,0.9699488491048592,2,1,1,0,0,1,0,0,1,1,0,0,1,6
LRP,0.9645140664961636,0.8977141598334415,0.9645140664961636,3,1,1,0,0,1,0,0,1,1,0,0,1,6
LRP,0.9677109974424551,0.910574300651012,0.9677109974424551,4,1,1,0,0,1,0,0,1,1,0,0,1,6
LRP,0.967071611253197,0.9092891164729796,0.967071611253197,5,1,1,0,0,1,0,0,1,1,0,0,1,6
LRP,0.97730179028133,0.9361582968928714,0.97730179028133,1,1,1,0,0,1,0,0,0,1,0,0,1,7
LRP,0.9653132992327366,0.8946161428964339,0.9653132992327366,2,1,1,0,0,1,0,0,0,1,0,0,1,7
LRP,0.9725063938618926,0.9240274894318832,0.9725063938618926,3,1,1,0,0,1,0,0,0,1,0,0,1,7
LRP,0.9694693094629157,0.907333211282983,0.9694693094629157,4,1,1,0,0,1,0,0,0,1,0,0,1,7
LRP,0.9565217391304348,0.8683493987338589,0.9565217391304348,5,1,1,0,0,1,0,0,0,1,0,0,1,7
LRP,0.9836956521739132,0.9518289576148764,0.9836956521739132,1,1,0,0,0,1,0,0,0,1,0,0,1,8
LRP,0.9672314578005116,0.9044433395193638,0.9672314578005116,2,1,0,0,0,1,0,0,0,1,0,0,1,8
